Materiais,Botas,Peitoral,Luvas,Elmo,Espada,Arco,Axe,Necessário,Já Tenho,,,,,
Substância Amarela,,,,,140 ,140 ,,280 ,285 ,,63 ,10 ,19 ,40 
Pele Perfeita,,,,,,,,0 ,,,80 ,25 ,40 ,0 
Essência Nórdica,,,,,,,,0 ,,,2 ,2 ,2 ,5 
Barra de Tório,,,,,98 ,98 ,,196 ,38 ,,108 ,47 ,62 ,30 
Olho de Jotunn,,,,,,,,0 ,,,,,,10 
Fio de pele,,,,,,7 ,,7 ,,,,,,
Estrutura do Artesão,,,,,7 ,,,7 ,7 ,,,,,
Essência Nórdica Perfeita,,,,,2 ,2 ,,4 ,,,,,,
,,,,,,,,,,,,,,
Ferreiro,Unidade,,Precisa de:,Já tenho:,Total:,Tempo necessário,,,,,,,,
Barra de Tório,,,,,,,,,,,,,,
Minério de Tório,42 ,,6636,2.080 ,4.556 ,24:21:49,,,,,,,,
Chadcoal,30 ,,4740,2.590 ,2.150 ,,,,,,,,,
Pele Perfeita,,,,,,,,,,,,,,
Pele Peluda,30 ,,5.250 ,1.780 ,3.470 ,,,,,,,,,
Estrutura do Artesão,,,,,,,,,,,,,,
Barra de Aço,10 ,,0 ,70 ,(70),,,,,,,,,
Chadcoal,100 ,,0 ,988 ,(988),,,,,,,,,
Elmo do Elmo,5.000 ,,0 ,35.100 ,(35.100),-32:22:48,,,,,,,,
Fio de Pele,,,,,,,,,,,,,,
Pele Perfeita,25 ,,175 ,0 ,175 ,,,,,,,,,
 Pena Amarela,100 ,,700 ,0 ,700 ,,,,,,,,,
Noz,5.000 ,,35.000 ,39 ,34.961 ,176:34:15,,,,,,,,
Essência Nórdica Perfeita,,,,,,,,,,,,,,
Essência Nórdica,30 ,,120 ,45 ,75 ,,,,,,,,,
Barra de Aço,,,,,,,,,,,,,,
Barra de Ferro,3 ,,-210,210 ,(420),,,,,,,,,
Carvão,1 ,,-70,70 ,(140),,,,,,,,,
Barra de Ferro,,,,,,,,,,,,,,
Minério de Ferro,5 ,,-1050,1.090 ,(2.140),,,,,,,,,
Tronco de Freixo,8 ,,-1680,2.430 ,(4.110),-3:39:00,,,,,,,,
Carvão,,,,,,,,,,,,,,
Tronco de Pyrewood,10 ,,(700),1.300 ,(2.000),-1:46:34,,,,,,,,
Chadcoal,,,,,,,,,,,,,,
Tronco de Medeira de Ferro,10 ,,11.620 ,1 ,11.619 ,10:45:30,,,,,,,,
